File:Sim_72.txt has rejection ratio 0.3391849609375 and time taken 37 min, 54 sec
File:Sim_73.txt has rejection ratio 0.359908203125 and time taken 38 min, 24 sec
File:Sim_74.txt has rejection ratio 0.384347265625 and time taken 38 min, 56 sec
File:Sim_75.txt has rejection ratio 0.41439375 and time taken 39 min, 26 sec
File:Sim_76.txt has rejection ratio 0.45109921875 and time taken 0 min, 31 sec
File:Sim_77.txt has rejection ratio 0.4514630859375 and time taken 1 min, 1 sec
File:Sim_78.txt has rejection ratio 0.4514751953125 and time taken 1 min, 31 sec
File:Sim_79.txt has rejection ratio 0.451516015625 and time taken 2 min, 1 sec
File:Sim_80.txt has rejection ratio 0.451462109375 and time taken 2 min, 31 sec
File:Sim_81.txt has rejection ratio 0.4516498046875 and time taken 3 min, 1 sec
File:Sim_82.txt has rejection ratio 0.4515587890625 and time taken 3 min, 32 sec
File:Sim_83.txt has rejection ratio 0.4508359375 and time taken 4 min, 2 sec
File:Sim_84.txt has rejection ratio 0.4512017578125 and time taken 4 min, 32 sec
File:Sim_85.txt has rejection ratio 0.4514333984375 and time taken 5 min, 2 sec
File:Sim_86.txt has rejection ratio 0.451209765625 and time taken 5 min, 32 sec
File:Sim_87.txt has rejection ratio 0.450954296875 and time taken 6 min, 2 sec
File:Sim_88.txt has rejection ratio 0.45109296875 and time taken 6 min, 34 sec
File:Sim_89.txt has rejection ratio 0.4504845703125 and time taken 7 min, 6 sec
File:Sim_90.txt has rejection ratio 0.4508421875 and time taken 7 min, 36 sec
File:Sim_91.txt has rejection ratio 0.4507701171875 and time taken 8 min, 8 sec
File:Sim_92.txt has rejection ratio 0.45029296875 and time taken 8 min, 38 sec
File:Sim_93.txt has rejection ratio 0.450460546875 and time taken 9 min, 10 sec
File:Sim_94.txt has rejection ratio 0.4504142578125 and time taken 9 min, 40 sec
File:Sim_95.txt has rejection ratio 0.450162890625 and time taken 10 min, 12 sec
File:Sim_96.txt has rejection ratio 0.4500802734375 and time taken 10 min, 42 sec
File:Sim_97.txt has rejection ratio 0.4496728515625 and time taken 11 min, 14 sec
File:Sim_98.txt has rejection ratio 0.449591796875 and time taken 11 min, 44 sec
File:Sim_99.txt has rejection ratio 0.449415234375 and time taken 12 min, 14 sec
File:Sim_100.txt has rejection ratio 0.448814453125 and time taken 12 min, 44 sec
File:Sim_101.txt has rejection ratio 0.44880078125 and time taken 13 min, 16 sec
File:Sim_102.txt has rejection ratio 0.4485396484375 and time taken 13 min, 46 sec
File:Sim_103.txt has rejection ratio 0.448763671875 and time taken 14 min, 16 sec
File:Sim_104.txt has rejection ratio 0.4482779296875 and time taken 14 min, 46 sec
File:Sim_105.txt has rejection ratio 0.4481650390625 and time taken 15 min, 16 sec
File:Sim_106.txt has rejection ratio 0.448100390625 and time taken 15 min, 46 sec
File:Sim_107.txt has rejection ratio 0.447755859375 and time taken 16 min, 18 sec
File:Sim_108.txt has rejection ratio 0.44759140625 and time taken 16 min, 48 sec
File:Sim_109.txt has rejection ratio 0.447246484375 and time taken 17 min, 20 sec
File:Sim_110.txt has rejection ratio 0.446956640625 and time taken 17 min, 50 sec
File:Sim_111.txt has rejection ratio 0.4463318359375 and time taken 18 min, 20 sec
File:Sim_112.txt has rejection ratio 0.446335546875 and time taken 18 min, 50 sec
File:Sim_113.txt has rejection ratio 0.44557265625 and time taken 19 min, 20 sec
File:Sim_114.txt has rejection ratio 0.4458732421875 and time taken 19 min, 48 sec
File:Sim_115.txt has rejection ratio 0.44514453125 and time taken 20 min, 19 sec
File:Sim_116.txt has rejection ratio 0.4449736328125 and time taken 20 min, 47 sec
File:Sim_117.txt has rejection ratio 0.44482109375 and time taken 21 min, 17 sec
File:Sim_118.txt has rejection ratio 0.4443416015625 and time taken 21 min, 45 sec
File:Sim_119.txt has rejection ratio 0.444023828125 and time taken 22 min, 15 sec
File:Sim_120.txt has rejection ratio 0.4429935546875 and time taken 22 min, 43 sec
File:Sim_121.txt has rejection ratio 0.4424330078125 and time taken 23 min, 13 sec
File:Sim_122.txt has rejection ratio 0.442593359375 and time taken 23 min, 41 sec
File:Sim_123.txt has rejection ratio 0.442203125 and time taken 24 min, 11 sec
File:Sim_124.txt has rejection ratio 0.4418642578125 and time taken 24 min, 41 sec
File:Sim_125.txt has rejection ratio 0.441611328125 and time taken 25 min, 11 sec
File:Sim_126.txt has rejection ratio 0.441363671875 and time taken 25 min, 39 sec
File:Sim_127.txt has rejection ratio 0.44035703125 and time taken 26 min, 11 sec
File:Sim_128.txt has rejection ratio 0.44009375 and time taken 26 min, 55 sec
File:Sim_129.txt has rejection ratio 0.439657421875 and time taken 27 min, 25 sec
File:Sim_130.txt has rejection ratio 0.43909765625 and time taken 27 min, 55 sec
File:Sim_131.txt has rejection ratio 0.438551171875 and time taken 28 min, 25 sec
File:Sim_132.txt has rejection ratio 0.4384234375 and time taken 28 min, 53 sec
File:Sim_133.txt has rejection ratio 0.4375380859375 and time taken 29 min, 23 sec
File:Sim_134.txt has rejection ratio 0.4368583984375 and time taken 29 min, 51 sec
File:Sim_135.txt has rejection ratio 0.4363076171875 and time taken 30 min, 21 sec
